feature	metaStatus	metaReason	writeMode	itemsLen	missingSymbols	warnCount	emptyReason	upstreamCode	cacheStatus	notes
rv-alpha-performance	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-alpha-radar	LIVE	-	NONE	items=3	missingSymbols=0	warn=0	-	-	-	-
rv-analyst-stampede	LIVE	-	NONE	items=0	missingSymbols=5	warn=0	-	-	-	missingSymbols>0
rv-arb-breadth-lite	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-arb-liquidity-pulse	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-arb-risk-regime	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-breakout-energy	STALE	STALE	NONE	items=1	missingSymbols=0	warn=0	-	-	-	-
rv-central-bank-watch	LIVE	-	NONE	items=20	missingSymbols=0	warn=0	-	-	-	-
rv-congress-trading	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-crypto-snapshot	LIVE	-	NONE	items=2	missingSymbols=0	warn=0	-	-	-	-
rv-earnings-calendar	ERROR	UPSTREAM_4XX	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-earnings-reality	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-hype-divergence	LIVE	-	NONE	items=0	missingSymbols=1	warn=0	-	-	-	missingSymbols>0
rv-insider-cluster	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-macro-rates	LIVE	-	NONE	items=12	missingSymbols=0	warn=0	-	-	-	-
rv-market-cockpit	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-market-health	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-market-regime	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-news-headlines	LIVE	-	NONE	items=34	missingSymbols=0	warn=0	-	-	-	-
rv-news-intelligence	STALE	STALE	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-price-snapshot	LIVE	-	NONE	items=4	missingSymbols=0	warn=0	-	-	-	-
rv-sector-rotation	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-sentiment-barometer	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-smart-money	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-sp500-sectors	LIVE	-	NONE	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-tech-signals	LIVE	-	NONE	items=29	missingSymbols=1	warn=0	-	-	-	missingSymbols>0
rv-top-movers	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	-
rv-volume-anomaly	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	missingSymbols>0
rv-why-moved	LIVE	-	NONE	items=5	missingSymbols=1	warn=0	-	-	-	missingSymbols>0
rv-yield-curve	STALE	MIRROR_FALLBACK	READONLY	items=0	missingSymbols=0	warn=0	-	-	-	-
